infinitiv	tip	sigurnost	predlozeni_oblik
vrskati	-ati (palatalizacija?)	proveri	vrsče
vrskati	-ati (palatalizacija?)	proveri	vrsčemo
vrskati	-ati (palatalizacija?)	proveri	vrsčete
vrskati	-ati (palatalizacija?)	proveri	vrsču
vrskati	-ati (palatalizacija?)	proveri	vrsči
vrskati	-ati (palatalizacija?)	proveri	vrsčite
vrskati	-ati (palatalizacija?)	proveri	vrskao
vrskati	-ati (palatalizacija?)	proveri	vrskala
vrskati	-ati (palatalizacija?)	proveri	vrskali
vrskati	-ati (palatalizacija?)	proveri	vrskale
vrstati	-ati	visoka	vrstam
vrstati	-ati	visoka	vrstaš
vrstati	-ati	visoka	vrstamo
vrstati	-ati	visoka	vrstate
vrstati	-ati	visoka	vrstaju
vrstati	-ati	visoka	vrstaj
vrstati	-ati	visoka	vrstajte
vrstati	-ati	visoka	vrstao
vrstati	-ati	visoka	vrstala
vrstati	-ati	visoka	vrstalo
vrstati	-ati	visoka	vrstali
vrstati	-ati	visoka	vrstale
vrzati	-ati (palatalizacija?)	proveri	vrzam
vrzati	-ati (palatalizacija?)	proveri	vrzaš
vrzati	-ati (palatalizacija?)	proveri	vrzamo
vrzati	-ati (palatalizacija?)	proveri	vrzate
vrzati	-ati (palatalizacija?)	proveri	vrzaju
vrzati	-ati (palatalizacija?)	proveri	vrzajte
vrzati	-ati (palatalizacija?)	proveri	vržem
vrzati	-ati (palatalizacija?)	proveri	vržeš
vrzati	-ati (palatalizacija?)	proveri	vržemo
vrzati	-ati (palatalizacija?)	proveri	vržete
vrzati	-ati (palatalizacija?)	proveri	vržu
vrzati	-ati (palatalizacija?)	proveri	vrži
vrzati	-ati (palatalizacija?)	proveri	vržite
vrzati	-ati (palatalizacija?)	proveri	vrzala
vrzati	-ati (palatalizacija?)	proveri	vrzalo
vrzati	-ati (palatalizacija?)	proveri	vrzali
vrzati	-ati (palatalizacija?)	proveri	vrzale
vrčati	-ati	visoka	vrčam
vrčati	-ati	visoka	vrčaš
vrčati	-ati	visoka	vrčamo
vrčati	-ati	visoka	vrčate
vrčati	-ati	visoka	vrčaju
vrčati	-ati	visoka	vrčaj
vrčati	-ati	visoka	vrčajte
vrčati	-ati	visoka	vrčao
vrčati	-ati	visoka	vrčala
vrčati	-ati	visoka	vrčalo
vrčati	-ati	visoka	vrčali
vrčati	-ati	visoka	vrčale
vršljati	-ati	visoka	vršljam
vršljati	-ati	visoka	vršljaš
vršljati	-ati	visoka	vršljamo
vršljati	-ati	visoka	vršljate
vršljati	-ati	visoka	vršljaj
vršljati	-ati	visoka	vršljajte
vršljati	-ati	visoka	vršljalo
vršljati	-ati	visoka	vršljale
vucarati	-ati	visoka	vucaram
vucarati	-ati	visoka	vucaramo
vucarati	-ati	visoka	vucarate
vucarati	-ati	visoka	vucaraj
vucarati	-ati	visoka	vucarajte
vucarati	-ati	visoka	vucaralo
vucarati	-ati	visoka	vucarali
vucarati	-ati	visoka	vucarale
vulgarizovati	-ovati	visoka	vulgarizujem
vulgarizovati	-ovati	visoka	vulgarizuješ
vulgarizovati	-ovati	visoka	vulgarizuje
vulgarizovati	-ovati	visoka	vulgarizujemo
vulgarizovati	-ovati	visoka	vulgarizujete
vulgarizovati	-ovati	visoka	vulgarizuju
vulgarizovati	-ovati	visoka	vulgarizovao
vulgarizovati	-ovati	visoka	vulgarizovala
vulgarizovati	-ovati	visoka	vulgarizovalo
vulgarizovati	-ovati	visoka	vulgarizovale
vulgarizovati	-ovati	visoka	vulgarizuj
vulgarizovati	-ovati	visoka	vulgarizujte
vučeti	-eti	proveri	vučim
vučeti	-eti	proveri	vučiš
vučeti	-eti	proveri	vučimo
vučeti	-eti	proveri	vučite
vučeti	-eti	proveri	vučeo
vučeti	-eti	proveri	vučela
vučeti	-eti	proveri	vučelo
